Region,breast cancer: (2014),stomach cancer: (2014),liver cancer: (2014),pancreatic cancer: (2014),lung cancer: (2014),skin cancer: (2014),colon  cancer: (2014),cervical cancer: (2014),bladder cancer: (2014),brain cancer: (2014),thyroid cancer: (2014),oral cancer: (2014),esophageal cancer: (2014),lymphoma cancer: (2014),leukemia cancer: (2014),ovarian cancer: (2014),prostate cancer: (2014),testicular cancer: (2014),kidney cancer: (2014)
West Virginia,88,12,10,21,39,33,24,15,11,10,13,4,4,4,,21,15,8,
Mississippi,94,10,14,20,32,28,28,17,6,8,9,6,3,3,,19,19,6,4
Alabama,99,10,12,16,32,28,23,10,7,10,9,4,3,4,,20,23,6,6
Kentucky,87,9,10,17,32,29,27,14,9,12,11,4,4,3,,19,21,6,7
Pennsylvania,87,9,11,19,34,26,23,11,9,11,11,5,5,3,,20,21,7,6
Tennessee,85,10,11,16,30,38,24,14,7,10,10,5,3,3,,18,20,5,5
Delaware,100,9,12,17,35,24,21,11,10,10,11,,,,,24,21,7,
Maine,84,11,11,19,34,32,22,10,10,10,10,5,7,4,,14,19,6,
Maryland,94,8,10,16,31,22,20,13,8,10,9,4,4,3,,18,26,6,5
Indiana,81,9,12,15,32,28,23,12,8,12,10,4,4,3,,19,22,8,5
Arkansas,85,9,11,13,25,33,22,14,6,11,9,4,5,3,,17,24,6,7
South Carolina,84,9,9,17,29,32,24,14,8,9,8,5,3,3,,19,18,6,6
Connecticut,86,8,8,20,34,23,19,9,9,11,11,4,3,3,,19,23,6,5
Iowa,76,7,9,17,34,25,25,12,8,13,11,2,4,4,,17,21,10,6
Ohio,80,8,11,17,30,26,21,12,8,12,9,5,3,4,,18,21,7,5
Massachusetts,84,8,11,19,32,23,21,8,7,10,10,4,4,3,,17,21,6,5
South Dakota,96,7,8,24,34,22,19,15,5,12,13,,,,,16,15,6,
New Hampshire,80,8,10,15,29,26,20,10,9,13,8,5,5,3,,19,23,7,
Missouri,79,9,9,16,30,31,20,12,8,9,9,4,3,4,,17,18,6,5
Michigan,78,8,9,16,31,26,21,14,8,10,9,5,4,3,,16,18,6,5
Rhode Island,94,8,9,15,28,22,22,11,8,12,8,3,3,4,,18,17,4,
North Carolina,83,9,10,15,29,24,21,12,7,9,8,4,4,3,,18,19,6,5
New Jersey,84,8,9,17,30,22,20,11,8,9,10,4,3,4,,14,21,6,5
Wisconsin,76,8,8,19,30,26,20,11,8,11,8,4,4,4,,15,19,7,5
Nebraska,68,5,11,18,27,26,25,13,8,10,9,2,4,3,,17,18,8,4
Illinois,77,8,8,15,27,24,20,12,7,10,9,4,3,3,2,15,19,7,5
Oklahoma,76,8,9,15,26,25,22,12,6,9,10,4,2,4,,15,19,6,4
Florida,77,7,10,14,26,28,20,11,7,8,8,4,3,3,2,13,21,5,4
Louisiana,77,9,9,14,24,25,21,13,6,10,8,4,3,2,,17,18,6,5
New Mexico,81,8,10,12,21,28,23,12,5,9,11,2,2,3,,15,19,8,
Minnesota,66,7,8,15,28,27,22,10,7,10,9,4,4,3,,17,18,5,5
New York,76,7,8,16,27,21,18,10,7,9,9,3,3,3,2,15,19,6,4
Georgia,77,8,8,12,24,25,20,13,7,9,7,4,3,3,,15,17,5,4
Kansas,68,8,8,14,24,27,21,13,7,9,8,4,3,4,,16,16,5,5
Arizona,70,7,8,12,24,29,20,11,6,9,9,4,3,2,,13,19,7,4
District of Columbia,80,8,8,15,24,17,20,11,5,10,8,3,3,2,,16,17,5,4
Vermont,75,7,7,14,27,22,20,10,10,9,9,,4,,,17,22,,
North Dakota,70,9,7,16,26,27,23,13,8,7,9,,,,,17,19,,
Montana,68,6,9,18,15,29,23,13,6,11,5,,,,,12,22,8,
Nevada,58,6,9,12,20,46,19,10,4,6,8,3,3,2,,12,16,5,3
Texas,69,8,9,12,21,21,20,12,5,7,7,4,2,3,2,13,16,6,4
Idaho,63,6,7,13,24,25,24,8,7,8,10,3,5,3,,13,17,5,
California,66,8,8,12,21,21,18,10,5,8,7,3,2,3,2,13,18,6,4
Hawaii,68,9,8,13,21,24,18,11,3,9,7,2,3,2,,11,18,4,3
Washington,63,7,9,11,22,22,18,10,6,8,8,3,3,2,,14,16,6,5
Colorado,60,7,7,13,23,23,16,10,7,9,9,4,3,2,,14,15,6,4
Utah,57,7,8,11,18,27,19,9,7,7,9,3,2,2,,11,15,6,4
Wyoming,74,,,15,18,26,21,14,,11,9,,,,,17,13,,
Virginia,62,7,7,11,19,17,16,10,6,7,6,3,2,2,,11,13,5,3
Alaska,55,7,7,14,20,24,18,12,7,7,6,,,,,13,12,,
Oregon,35,5,6,8,12,15,12,6,4,4,5,2,2,2,,7,11,4,3
