Month,stomach cancer ,ovarian cancer ,pancreatic cancer ,skin cancer ,breast cancer 
2005-01,4,9,5,13,51
2005-02,4,10,5,15,50
2005-03,4,9,6,16,46
2005-04,4,9,5,16,50
2005-05,4,11,5,18,50
2005-06,3,10,5,19,41
2005-07,4,9,6,15,37
2005-08,4,11,6,16,41
2005-09,3,10,5,13,52
2005-10,4,9,6,12,62
2005-11,4,9,5,12,42
2005-12,3,7,5,9,37
2006-01,4,10,4,10,38
2006-02,3,9,5,11,40
2006-03,3,10,6,14,43
2006-04,3,10,6,15,42
2006-05,4,9,5,17,40
2006-06,4,11,5,16,45
2006-07,4,9,6,16,40
2006-08,4,10,6,12,43
2006-09,4,11,6,12,51
2006-10,4,11,6,11,78
2006-11,3,10,6,12,46
2006-12,3,9,5,11,38
2007-01,4,9,7,11,39
2007-02,3,10,5,11,41
2007-03,3,9,5,12,45
2007-04,4,9,6,14,44
2007-05,3,8,5,16,40
2007-06,3,13,5,16,37
2007-07,3,10,6,14,38
2007-08,3,10,6,13,41
2007-09,3,12,8,12,50
2007-10,4,11,7,12,74
2007-11,3,8,6,11,41
2007-12,3,8,5,9,34
2008-01,3,8,5,9,37
2008-02,3,8,6,11,40
2008-03,4,8,21,11,40
2008-04,4,8,10,14,42
2008-05,4,8,7,16,39
2008-06,3,8,7,16,33
2008-07,3,8,8,15,32
2008-08,3,8,9,12,37
2008-09,3,11,7,11,50
2008-10,3,8,7,11,70
2008-11,3,8,6,10,39
2008-12,3,7,6,9,34
2009-01,3,8,13,10,36
2009-02,3,7,10,11,40
2009-03,4,8,7,12,40
2009-04,3,8,7,13,39
2009-05,3,8,8,17,39
2009-06,4,7,7,15,36
2009-07,4,8,7,14,36
2009-08,3,9,6,12,35
2009-09,4,9,15,11,49
2009-10,3,9,8,11,77
2009-11,3,8,8,10,43
2009-12,3,7,6,9,32
2010-01,4,8,6,9,38
2010-02,3,8,9,10,36
2010-03,4,8,7,11,35
2010-04,3,7,7,13,40
2010-05,4,8,6,14,35
2010-06,3,8,6,15,31
2010-07,3,7,6,13,27
2010-08,4,7,5,11,30
2010-09,3,9,6,10,44
2010-10,3,8,7,11,86
2010-11,3,7,6,9,34
2010-12,3,6,9,8,30
2011-01,4,7,8,10,35
2011-02,3,7,8,10,35
2011-03,4,8,7,11,35
2011-04,4,8,7,13,35
2011-05,3,8,6,16,32
2011-06,4,7,6,16,30
2011-07,4,7,7,14,28
2011-08,4,8,7,12,32
2011-09,4,11,7,12,52
2011-10,4,8,16,12,96
2011-11,4,7,7,11,39
2011-12,4,6,6,10,33
2012-01,4,7,7,11,36
2012-02,4,7,7,11,37
2012-03,4,7,7,12,31
2012-04,4,8,7,13,34
2012-05,4,7,7,16,33
2012-06,4,9,7,14,29
2012-07,4,7,8,13,29
2012-08,4,7,7,12,31
2012-09,4,10,8,11,50
2012-10,4,8,8,11,100
2012-11,4,7,8,10,33
2012-12,3,6,6,9,28
2013-01,4,7,7,10,30
2013-02,3,7,7,10,33
2013-03,4,7,9,11,31
2013-04,4,7,7,12,30
2013-05,4,8,7,14,35
2013-06,4,7,6,14,30
2013-07,4,9,7,13,27
2013-08,4,8,7,11,30
2013-09,3,9,7,11,43
2013-10,4,8,8,10,96
2013-11,4,7,8,10,33
2013-12,4,7,7,9,28
2014-01,4,7,7,9,30
2014-02,4,7,6,10,30
2014-03,4,7,7,11,31
2014-04,4,7,7,12,31
2014-05,4,7,7,14,30
2014-06,4,7,6,14,29
2014-07,4,7,7,14,28
2014-08,4,7,7,12,29
2014-09,4,9,7,12,43
2014-10,4,8,7,11,93
2014-11,4,7,7,10,28
2014-12,4,6,7,9,25
