Location,Mortality_Rate
Kentucky,239.55
Mississippi,234.54
West Virginia,234.41
Alabama,230.98
Louisiana,226.5
Tennessee,221.72
Arkansas,219.87
Oklahoma,214.79
Indiana,212.93
Ohio,211.22
South Carolina,208.8
Missouri,207.78
District of Columbia,205.84
Maine,205.74
Georgia,203.48
Nevada,203.1
Pennsylvania,202.51
North Carolina,200.93
Michigan,200.39
Illinois,199.27
Delaware,198.53
Kansas,196.48
Oregon,194.87
Virginia,194.83
Alaska,194.76
Nebraska,193.36
Iowa,192.81
Rhode Island,192.76
New Hampshire,191.67
Massachusetts,190.42
Wisconsin,189.65
Montana,188.63
New Jersey,187.6
Vermont,187.11
Maryland,186.96
South Dakota,186.34
Minnesota,184.62
Wyoming,184.58
Washington,184.4
Texas,184.35
Florida,183.76
North Dakota,179.83
Connecticut,179.49
Idaho,178.98
New York,177.13
Arizona,170.27
New Mexico,168.93
Hawaii,166.86
California,165.36
Colorado,164.49
Utah,154.32
